x,y,z,intensity,return_number,number_of_returns,scan_direction_flag,edge_of_flight_line,classification,synthetic,key_point,withheld,scan_angle_rank,user_data,point_source_id,gps_time
829527.0097278404,5932734.65249364,547.15,8,1,1,0,0,6,0,0,0,-23,6,2102,363513799.2584325
829527.141588009,5932736.412480721,547.17,9,1,1,0,0,6,0,0,0,-23,6,2102,363513799.2652027
829526.8931484041,5932737.1458564745,547.19,9,1,1,0,0,6,0,0,0,-23,6,2102,363513799.2652036
829527.127400916,5932739.213827402,547.15,8,1,1,0,0,6,0,0,0,-23,6,2102,363513799.2719742
829527.0109655486,5932742.645859885,547.11,9,1,1,0,0,6,0,0,0,-23,6,2102,363513799.2787464
829527.0431031206,5932762.694877926,534.44,4,1,1,0,0,2,0,0,0,-23,2,2102,363513799.3261385
829527.1167501003,5932766.2002244815,534.42,6,1,1,0,0,2,0,0,0,-23,2,2102,363513799.3329108
829527.0879340067,5932768.942917816,534.46,6,1,1,0,0,2,0,0,0,-23,2,2102,363513799.3396823
829527.1613347959,5932770.864252437,534.39,7,1,1,0,0,2,0,0,0,-24,2,2102,363513799.3464529
829526.912892888,5932771.597628348,534.33,5,1,1,0,0,2,0,0,0,-24,2,2102,363513799.3464538
829529.4343745923,5932626.338591161,534.1800000000001,6,1,1,0,0,2,0,0,0,19,2,2100,363512138.1281192
829533.2357346863,5932626.337998331,534.23,7,1,1,0,0,2,0,0,0,19,2,2100,363512138.1484213
829556.7749335003,5932626.319643772,535.13,5,2,2,0,0,2,0,0,0,19,2,2100,363512138.2905483
829559.0265169629,5932626.363288791,535.26,7,2,2,0,0,2,0,0,0,19,2,2100,363512138.3040845
829549.5231382377,5932626.320854303,536.85,8,1,1,0,0,6,0,0,0,19,6,2100,363512138.2499395
829550.8536281822,5932626.408643275,536.87,7,1,1,0,0,6,0,0,0,19,6,2100,363512138.2567074
829564.3922777768,5932626.333099134,535.3,7,3,3,0,0,2,0,0,0,19,2,2100,363512138.3311571
829568.7053706645,5932626.391079039,535.47,10,1,1,0,0,2,0,0,0,19,2,2100,363512138.3582294
829575.7817486409,5932626.375280283,535.7,12,1,1,0,0,2,0,0,0,19,2,2100,363512138.3988368
829585.8995158185,5932626.330273256,554.4,9,1,1,0,0,3,0,0,0,20,3,2100,363512138.4665113
829531.7298246103,5932626.426231959,534.19,9,1,1,0,0,2,0,0,0,1,2,2101,363513252.0399757
829532.3146424406,5932626.382141157,534.2,8,1,1,0,0,2,0,0,0,1,2,2101,363513252.0264406
829532.9287063868,5932626.367379495,534.23,8,1,1,0,0,2,0,0,0,1,2,2101,363513252.0196734
829533.8790586202,5932626.440565386,534.29,9,1,1,0,0,2,0,0,0,1,2,2101,363513252.0129059
829534.9609679631,5932626.3377299905,534.29,10,1,1,0,0,2,0,0,0,1,2,2101,363513252.0061381
829541.3647931335,5932626.322055189,534.24,11,1,1,0,0,2,0,0,0,1,2,2101,363513251.9452278
829540.5460393304,5932626.32218516,534.27,11,1,1,0,0,2,0,0,0,1,2,2101,363513251.9519953
829553.3537124738,5932626.364178338,534.85,9,1,1,0,0,2,0,0,0,0,2,2101,363513251.8234051
829553.9677921127,5932626.437418168,534.99,10,1,1,0,0,2,0,0,0,0,2,2101,363513251.8166367
829547.1838404002,5932626.321225077,536.86,9,1,1,0,0,6,0,0,0,0,6,2101,363513251.891087
829550.4003896873,5932626.408716172,536.9,8,2,2,0,0,6,0,0,0,0,6,2101,363513251.8572474
829550.5173876275,5932626.394103128,539.03,3,1,2,0,0,3,0,0,0,0,3,2101,363513251.8572474
829553.1345182615,5932626.4377566315,541.08,4,1,2,0,0,3,0,0,0,0,3,2101,363513251.8301733
829564.3045587705,5932626.362446271,535.3,13,1,1,0,0,2,0,0,0,0,2,2101,363513251.7151181
829565.7081402479,5932626.3768885415,535.32,13,1,1,0,0,2,0,0,0,0,2,2101,363513251.7015836
829569.4802614544,5932626.376289302,535.51,12,1,1,0,0,2,0,0,0,0,2,2101,363513251.6677436
829570.3282524622,5932626.346820166,535.52,13,1,1,0,0,2,0,0,0,0,2,2101,363513251.6542074
829571.0154287885,5932626.390710228,535.55,14,1,1,0,0,2,0,0,0,0,2,2101,363513251.6474396
829574.4074219845,5932626.44883316,535.65,13,2,2,0,0,2,0,0,0,0,2,2101,363513251.6271365
